NodeA,NodeB,Type
52924883,50010150,Follow
52932400,50010150,Follow
52972859,50010150,Follow
53010908,50010150,Follow
53087292,50010150,Follow
53100063,50010150,Follow
53129580,50010150,Follow
53135929,50010150,Follow
53140832,50010150,Follow
53197827,50010150,Follow
53276466,50010150,Follow
53390003,50010150,Follow
53398836,50010150,Follow
53464667,50010150,Follow
53524974,50010150,Follow
53531165,50010150,Follow
53585713,50010150,Follow
53654698,50010150,Follow
53667987,50010150,Follow
53724079,50010150,Follow
53755759,50010150,Follow
53757550,50010150,Follow
53763287,50010150,Follow
53768829,50010150,Follow
53777395,50010150,Follow
53829778,50010150,Follow
53896166,50010150,Follow
54002918,50010150,Follow
54262247,50010150,Follow
54467929,50010150,Follow
54485666,50010150,Follow
54491513,50010150,Follow
54498571,50010150,Follow
54529873,50010150,Follow
54578257,50010150,Follow
54672746,50010150,Follow
54741808,50010150,Follow
54783133,50010150,Follow
54784138,50010150,Follow
55090806,50010150,Follow
55337738,50010150,Follow
55341105,50010150,Follow
55455670,50010150,Follow
55465547,50010150,Follow
55666909,50010150,Follow
55683192,50010150,Follow
55725490,50010150,Follow
55819961,50010150,Follow
55824747,50010150,Follow
55901517,50010150,Follow
55956845,50010150,Follow
56251717,50010150,Follow
56260866,50010150,Follow
56267205,50010150,Follow
56378789,50010150,Follow
56559743,50010150,Follow
56597648,50010150,Follow
56599673,50010150,Follow
56651461,50010150,Follow
56894923,50010150,Follow
57020140,50010150,Follow
57466498,50010150,Follow
57534546,50010150,Follow
57577011,50010150,Follow
57691256,50010150,Follow
58066334,50010150,Follow
58087772,50010150,Follow
58494310,50010150,Follow
58494864,50010150,Follow
58546745,50010150,Follow
58585034,50010150,Follow
58681606,50010150,Follow
58841979,50010150,Follow
59561221,50010150,Follow
60145013,50010150,Follow
60461551,50010150,Follow
55956845,50012573,Follow
50948262,50013663,Follow
50037549,50014310,Follow
55956845,50014310,Follow
50001965,50015376,Follow
50020286,50015376,Follow
50022622,50015376,Follow
50037549,50015376,Follow
50064404,50015376,Follow
50119649,50015376,Follow
50124435,50015376,Follow
50124660,50015376,Follow
50155494,50015376,Follow
50163746,50015376,Follow
50183240,50015376,Follow
50183658,50015376,Follow
50251742,50015376,Follow
50427784,50015376,Follow
50670401,50015376,Follow
50853871,50015376,Follow
50908018,50015376,Follow
50923220,50015376,Follow
50947308,50015376,Follow
51019351,50015376,Follow
51389252,50015376,Follow
51592840,50015376,Follow
51593239,50015376,Follow
51596014,50015376,Follow
51712021,50015376,Follow
51836382,50015376,Follow
51839088,50015376,Follow
51885237,50015376,Follow
51922153,50015376,Follow
52000460,50015376,Follow
52072257,50015376,Follow
52214255,50015376,Follow
52273356,50015376,Follow
52349258,50015376,Follow
52414190,50015376,Follow
52452532,50015376,Follow
52570633,50015376,Follow
52590556,50015376,Follow
52627171,50015376,Follow
52737158,50015376,Follow
52757412,50015376,Follow
52890569,50015376,Follow
52931007,50015376,Follow
53123692,50015376,Follow
53464667,50015376,Follow
53524974,50015376,Follow
53606324,50015376,Follow
53662185,50015376,Follow
53755759,50015376,Follow
53757550,50015376,Follow
53983868,50015376,Follow
54089324,50015376,Follow
54298345,50015376,Follow
54485666,50015376,Follow
54741808,50015376,Follow
55020518,50015376,Follow
55538422,50015376,Follow
55683192,50015376,Follow
55958910,50015376,Follow
56182086,50015376,Follow
56959270,50015376,Follow
57146808,50015376,Follow
57874889,50015376,Follow
58546745,50015376,Follow
58957080,50015376,Follow
59403824,50015376,Follow
60055013,50015376,Follow
50948262,50018164,Follow
55956845,50018164,Follow
50596116,50020242,Follow
50650258,50020242,Follow
50896801,50020242,Follow
51631250,50020242,Follow
53757550,50020242,Follow
55956845,50020242,Follow
50015376,50020286,Follow
52849739,50020286,Follow
51932471,50020367,Follow
55956845,50020367,Follow
50596116,50021257,Follow
53757550,50021257,Follow
55956845,50021257,Follow
50124660,50021267,Follow
51764257,50021267,Follow
52243064,50021267,Follow
53757550,50021267,Follow
55465547,50021267,Follow
55956845,50021267,Follow
58494310,50021267,Follow
50124660,50021314,Follow
50703665,50021314,Follow
50919109,50021314,Follow
50948262,50021314,Follow
53575873,50021314,Follow
53757550,50021314,Follow
50703665,50021511,Follow
51944733,50021511,Follow
53042430,50021511,Follow
53407346,50021511,Follow
53757550,50021511,Follow
58494310,50021511,Follow
50079116,50022622,Follow
50407017,50022622,Follow
50948262,50022622,Follow
51062938,50022622,Follow
51081420,50022622,Follow
51087631,50022622,Follow
51254976,50022622,Follow
51631250,50022622,Follow
52468643,50022622,Follow
52590556,50022622,Follow
52890569,50022622,Follow
53575873,50022622,Follow
53757550,50022622,Follow
54288958,50022622,Follow
54485666,50022622,Follow
54493634,50022622,Follow
54538705,50022622,Follow
54638126,50022622,Follow
55713861,50022622,Follow
55956845,50022622,Follow
56072067,50022622,Follow
57261217,50022622,Follow
58816352,50022622,Follow
55956845,50025175,Follow
52590556,50025956,Follow
55956845,50025956,Follow
55956845,50030063,Follow
51943162,50031367,Follow
50596116,50034456,Follow
55956845,50037391,Follow
50948262,50037549,Follow
55956845,50037549,Follow
55956845,50038764,Follow
55956845,50039328,Follow
50184028,50041156,Follow
51087631,50041156,Follow
53464667,50041156,Follow
53757550,50041156,Follow
54196926,50041156,Follow
50001965,50041928,Follow
50021257,50041928,Follow
50107066,50041928,Follow
50183240,50041928,Follow
50184028,50041928,Follow
50427784,50041928,Follow
50713129,50041928,Follow
50908018,50041928,Follow
50948262,50041928,Follow
51087631,50041928,Follow
51184174,50041928,Follow
51601038,50041928,Follow
51795154,50041928,Follow
51798365,50041928,Follow
51839088,50041928,Follow
52020656,50041928,Follow
52040367,50041928,Follow
52057002,50041928,Follow
52079547,50041928,Follow
52292605,50041928,Follow
52468643,50041928,Follow
52590556,50041928,Follow
52643678,50041928,Follow
52715876,50041928,Follow
52890569,50041928,Follow
52974375,50041928,Follow
53140832,50041928,Follow
53180630,50041928,Follow
53263466,50041928,Follow
53464667,50041928,Follow
53585713,50041928,Follow
53724079,50041928,Follow
53757550,50041928,Follow
53768829,50041928,Follow
54002918,50041928,Follow
54089324,50041928,Follow
54298345,50041928,Follow
54485666,50041928,Follow
54493634,50041928,Follow
54516579,50041928,Follow
54638126,50041928,Follow
54649353,50041928,Follow
54741808,50041928,Follow
54747837,50041928,Follow
54780969,50041928,Follow
55079870,50041928,Follow
55683192,50041928,Follow
55753211,50041928,Follow
55942020,50041928,Follow
55956845,50041928,Follow
56107377,50041928,Follow
56182086,50041928,Follow
56220334,50041928,Follow
56408280,50041928,Follow
56597648,50041928,Follow
56610576,50041928,Follow
56672097,50041928,Follow
57018197,50041928,Follow
57441412,50041928,Follow
57460028,50041928,Follow
57577011,50041928,Follow
57597664,50041928,Follow
57859943,50041928,Follow
57894521,50041928,Follow
58494310,50041928,Follow
50119649,50042030,Follow
50124660,50042030,Follow
50183658,50042030,Follow
50427784,50042030,Follow
50650258,50042030,Follow
50937150,50042030,Follow
50948262,50042030,Follow
51087631,50042030,Follow
51221472,50042030,Follow
51389252,50042030,Follow
51839088,50042030,Follow
52000460,50042030,Follow
52024928,50042030,Follow
52643678,50042030,Follow
52757412,50042030,Follow
53276466,50042030,Follow
53547129,50042030,Follow
53585713,50042030,Follow
53724079,50042030,Follow
53757550,50042030,Follow
53853281,50042030,Follow
53983868,50042030,Follow
54002918,50042030,Follow
54546703,50042030,Follow
54594077,50042030,Follow
55031406,50042030,Follow
56463999,50042030,Follow
58087772,50042030,Follow
55956845,50042315,Follow
55956845,50042804,Follow
50031367,50043133,Follow
50948262,50043133,Follow
55956845,50043133,Follow
55956845,50043196,Follow
50037549,50045315,Follow
50119649,50045315,Follow
50596116,50045315,Follow
50933736,50045315,Follow
50948262,50045315,Follow
51847068,50045315,Follow
51896335,50045315,Follow
52834141,50045315,Follow
55956845,50052612,Follow
50893943,50052643,Follow
55956845,50052643,Follow
55956845,50054366,Follow
59277597,50054366,Follow
50042804,50055638,Follow
50076103,50055638,Follow
50001363,50056878,Follow
50020242,50056878,Follow
50021257,50056878,Follow
50124660,50056878,Follow
50260684,50056878,Follow
50522629,50056878,Follow
51087631,50056878,Follow
51554589,50056878,Follow
51631250,50056878,Follow
51805910,50056878,Follow
52020656,50056878,Follow
52079547,50056878,Follow
52349202,50056878,Follow
52382980,50056878,Follow
52790022,50056878,Follow
53180630,50056878,Follow
53524974,50056878,Follow
53585713,50056878,Follow
53757550,50056878,Follow
54538705,50056878,Follow
54762889,50056878,Follow
54784138,50056878,Follow
55683192,50056878,Follow
55956845,50056878,Follow
56192404,50056878,Follow
56463999,50056878,Follow
56655929,50056878,Follow
57427968,50056878,Follow
58551566,50056878,Follow
53757550,50059947,Follow
55956845,50059947,Follow
56192404,50059947,Follow
55956845,50061212,Follow
55956845,50061573,Follow
55956845,50062260,Follow
50124660,50063970,Follow
55420705,50063970,Follow
50262697,50064282,Follow
50948262,50064282,Follow
55956845,50064282,Follow
50002276,50064531,Follow
50043133,50064531,Follow
50043196,50064531,Follow
50124660,50064531,Follow
50948262,50064531,Follow
51831237,50064531,Follow
51943162,50064531,Follow
52069484,50064531,Follow
52462756,50064531,Follow
53694122,50064531,Follow
53757550,50064531,Follow
54780969,50064531,Follow
55956845,50064531,Follow
56123574,50064531,Follow
55956845,50065270,Follow
52228771,50071896,Follow
52974375,50071896,Follow
53140832,50071896,Follow
53757550,50071896,Follow
54758943,50071896,Follow
50305082,50073234,Follow
50853871,50073234,Follow
50919109,50073234,Follow
52119895,50073234,Follow
53464667,50073234,Follow
53757550,50073234,Follow
55956845,50073234,Follow
50055638,50076103,Follow
55956845,50076103,Follow
50124435,50076194,Follow
50124660,50076194,Follow
50650258,50076194,Follow
51238468,50076194,Follow
51599588,50076194,Follow
51831237,50076194,Follow
52112856,50076194,Follow
53140832,50076194,Follow
53464667,50076194,Follow
53585713,50076194,Follow
53757550,50076194,Follow
53853281,50076194,Follow
54002918,50076194,Follow
56536912,50076194,Follow
50001955,50078293,Follow
50002593,50078293,Follow
50021257,50078293,Follow
50021314,50078293,Follow
50037549,50078293,Follow
50107066,50078293,Follow
50124435,50078293,Follow
50124660,50078293,Follow
50130302,50078293,Follow
50155494,50078293,Follow
50155802,50078293,Follow
50163746,50078293,Follow
50183658,50078293,Follow
50184028,50078293,Follow
50253256,50078293,Follow
50306100,50078293,Follow
50362564,50078293,Follow
50420897,50078293,Follow
50650258,50078293,Follow
50736393,50078293,Follow
50896801,50078293,Follow
50926791,50078293,Follow
50933736,50078293,Follow
50937184,50078293,Follow
50948262,50078293,Follow
51019351,50078293,Follow
51046950,50078293,Follow
51087631,50078293,Follow
51091002,50078293,Follow
51255644,50078293,Follow
51394523,50078293,Follow
51426724,50078293,Follow
51595456,50078293,Follow
51600034,50078293,Follow
51601859,50078293,Follow
51631250,50078293,Follow
51712021,50078293,Follow
51793521,50078293,Follow
51836382,50078293,Follow
51841537,50078293,Follow
51842229,50078293,Follow
51847068,50078293,Follow
51870982,50078293,Follow
51902293,50078293,Follow
51908133,50078293,Follow
51909506,50078293,Follow
51909672,50078293,Follow
51922153,50078293,Follow
51931827,50078293,Follow
51939124,50078293,Follow
52072257,50078293,Follow
52097713,50078293,Follow
52107829,50078293,Follow
52196243,50078293,Follow
52213765,50078293,Follow
52215206,50078293,Follow
52292605,50078293,Follow
52382980,50078293,Follow
52428067,50078293,Follow
52493688,50078293,Follow
52524103,50078293,Follow
52590556,50078293,Follow
52613642,50078293,Follow
52728108,50078293,Follow
52801885,50078293,Follow
52890569,50078293,Follow
52931178,50078293,Follow
52946087,50078293,Follow
52972859,50078293,Follow
52974375,50078293,Follow
53005685,50078293,Follow
53140832,50078293,Follow
53151407,50078293,Follow
53180630,50078293,Follow
53385172,50078293,Follow
53459631,50078293,Follow
53464667,50078293,Follow
53485093,50078293,Follow
53509735,50078293,Follow
53524974,50078293,Follow
53544721,50078293,Follow
53568194,50078293,Follow
53574162,50078293,Follow
53575676,50078293,Follow
53575873,50078293,Follow
53585713,50078293,Follow
53623122,50078293,Follow
53706821,50078293,Follow
53746832,50078293,Follow
53757550,50078293,Follow
53853281,50078293,Follow
53865892,50078293,Follow
53909226,50078293,Follow
53978553,50078293,Follow
54002918,50078293,Follow
54258163,50078293,Follow
54288958,50078293,Follow
54298345,50078293,Follow
54485666,50078293,Follow
54538705,50078293,Follow
54546703,50078293,Follow
