NodeA,NodeB,Type
11706,5322471,forked_from
10847187,18886095,forked_from
19916851,21507540,forked_from
8381515,8662512,forked_from
11780,15134096,forked_from
11789,9318971,forked_from
31235512,31469087,forked_from
11819,5363504,forked_from
11819,9038559,forked_from
11821,13940911,forked_from
11821,17882979,forked_from
11821,28451721,forked_from
11821,22705725,forked_from
11821,1814791,forked_from
11821,1814835,forked_from
11851,4851219,forked_from
11902,6221664,forked_from
13719835,20197044,forked_from
11980,8882903,forked_from
11989,9287094,forked_from
11989,28428633,forked_from
24129244,39817116,forked_from
26209,32517875,forked_from
8571915,10235640,forked_from
6827833,9793542,forked_from
12258,1595144,forked_from
12258,23365028,forked_from
8321453,10235885,forked_from
16789509,17180214,forked_from
35139620,39254431,forked_from
25859,34353311,forked_from
12482,21259593,forked_from
12482,12887246,forked_from
12482,42784,forked_from
12482,10577798,forked_from
3710497,10236124,forked_from
7077713,20721893,forked_from
7077713,28442134,forked_from
7077713,16133834,forked_from
7352637,28163744,forked_from
12612,9144521,forked_from
12624,1723907,forked_from
6041937,14033340,forked_from
16003456,17231033,forked_from
11809174,20475359,forked_from
6566313,11581159,forked_from
12717,1501253,forked_from
4933925,13119947,forked_from
4933925,27283164,forked_from
12747,11344829,forked_from
12747,11494393,forked_from
22068793,36450777,forked_from
12765,19033322,forked_from
12789,28428629,forked_from
12789,12747813,forked_from
12789,12752196,forked_from
22032913,31525933,forked_from
12830,1754638,forked_from
11632543,29110818,forked_from
2372167,22427341,forked_from
15822085,16003802,forked_from
13052,408797,forked_from
13052,149017,forked_from
1848069,16206685,forked_from
13444836,16003852,forked_from
13444836,28135274,forked_from
13444836,20879565,forked_from
13444836,41643860,forked_from
13444836,18316103,forked_from
13100,9284777,forked_from
21771061,27889564,forked_from
93177,10498877,forked_from
6566725,6784620,forked_from
9450327,11101066,forked_from
9450327,11187319,forked_from
6988998,8926093,forked_from
6988998,25704676,forked_from
6988998,19415575,forked_from
6988998,8742015,forked_from
6988998,9539547,forked_from
6988998,7494953,forked_from
6988998,7234639,forked_from
6988998,8104844,forked_from
6988998,9940375,forked_from
13235,12744849,forked_from
2669105,20460567,forked_from
2669105,33115536,forked_from
117424,6042654,forked_from
8699068,19936294,forked_from
29124669,38548526,forked_from
30219534,32257112,forked_from
30219534,34626915,forked_from
30219534,36279249,forked_from
30219534,31370769,forked_from
537707,13516510,forked_from
9115864,17315009,forked_from
1355862,13382901,forked_from
7418395,21771638,forked_from
275893,22450461,forked_from
3421665,30900125,forked_from
2719572,17839592,forked_from
39597570,39636631,forked_from
20601350,20723229,forked_from
3159585,21390044,forked_from
20607710,20723257,forked_from
20607710,20753799,forked_from
20638099,20723284,forked_from
89079,3159656,forked_from
20723323,31672445,forked_from
20400066,20723368,forked_from
13047207,20723443,forked_from
13047207,43059516,forked_from
59757,10499845,forked_from
14088,6107101,forked_from
16889325,17839920,forked_from
16889325,18458991,forked_from
16889325,16889361,forked_from
17259543,33306419,forked_from
25067926,31471424,forked_from
25067926,37272856,forked_from
14206,4564042,forked_from
23503596,31471506,forked_from
11125771,31471514,forked_from
12870645,20461471,forked_from
12870645,12870647,forked_from
12870645,31248739,forked_from
12870645,31276596,forked_from
2373563,7311723,forked_from
20723690,33280847,forked_from
21929469,22034410,forked_from
21929469,21986745,forked_from
7586029,7616550,forked_from
21248137,21635505,forked_from
29252155,41957518,forked_from
29252155,42706570,forked_from
14550,8678111,forked_from
8704570,10500408,forked_from
17054012,37280158,forked_from
8886673,10500448,forked_from
8886673,23478013,forked_from
40745,21510505,forked_from
4963729,8665461,forked_from
4963729,24301437,forked_from
4963729,15145136,forked_from
13762093,30947705,forked_from
9102431,10762658,forked_from
9841595,17054114,forked_from
16371192,19413420,forked_from
14765,15800969,forked_from
127107,3160532,forked_from
17054221,22049627,forked_from
15481447,44596913,forked_from
801441,1001861,forked_from
33307351,33746552,forked_from
8403766,40451189,forked_from
15182,3509210,forked_from
15182,672435,forked_from
18889557,30566163,forked_from
22110561,32521063,forked_from
33569654,37527386,forked_from
20912715,20986798,forked_from
29132740,29899738,forked_from
18103308,19841398,forked_from
24919055,34123894,forked_from
24919055,30654214,forked_from
27016233,32150952,forked_from
20462657,21840795,forked_from
16201965,31734869,forked_from
16201965,20574200,forked_from
16201965,32153092,forked_from
29088976,41958512,forked_from
20733473,24919180,forked_from
20733473,27724859,forked_from
31646312,32521399,forked_from
15548,32548732,forked_from
11812025,20133013,forked_from
3720376,39599349,forked_from
3720376,19585781,forked_from
3720376,5211014,forked_from
2637064,13707278,forked_from
8753003,18627857,forked_from
29142354,31735160,forked_from
29142354,31510646,forked_from
19414401,22305886,forked_from
19414401,22664804,forked_from
19414401,19838892,forked_from
17625793,44580254,forked_from
14433720,20991133,forked_from
14433720,34706986,forked_from
14433720,39176502,forked_from
30162362,33965877,forked_from
21249523,27646136,forked_from
15934,3456601,forked_from
15939,8412819,forked_from
15939,9230009,forked_from
15939,28451744,forked_from
4734543,32612904,forked_from
4734543,39715532,forked_from
4734543,4851274,forked_from
4734543,8834861,forked_from
14696016,29170758,forked_from
15958,1651477,forked_from
15958,1430531,forked_from
15958,712612,forked_from
15958,32499019,forked_from
29900402,31870333,forked_from
19676846,23560871,forked_from
13972952,24133343,forked_from
26947151,32521955,forked_from
72797,19414769,forked_from
72797,13654894,forked_from
72797,33852382,forked_from
72797,9226416,forked_from
72797,10300534,forked_from
72797,7424716,forked_from
72797,28668754,forked_from
72797,14515466,forked_from
72797,10328859,forked_from
72797,11120703,forked_from
72797,113944,forked_from
72797,7477363,forked_from
72797,28451760,forked_from
72797,27713984,forked_from
72797,9131671,forked_from
16173,27641863,forked_from
5124248,11550529,forked_from
16203,712673,forked_from
16204,1769481,forked_from
16230,7655028,forked_from
16236,1617456,forked_from
10502004,41815413,forked_from
7618495,9628645,forked_from
7618495,8645100,forked_from
3814375,20201434,forked_from
3814375,19003905,forked_from
28540548,32522248,forked_from
28540548,31510560,forked_from
28540548,30298506,forked_from
28540548,42920043,forked_from
28540548,31141890,forked_from
10396186,40386583,forked_from
2375768,12756780,forked_from
16528,22181402,forked_from
16537,12750365,forked_from
16562,10125596,forked_from
1589427,8875763,forked_from
18510390,19415247,forked_from
18510390,36278415,forked_from
18510390,18760823,forked_from
26231032,34201361,forked_from
16664,13335590,forked_from
16727,34774,forked_from
16727,10073440,forked_from
10932697,24134043,forked_from
22299066,23503798,forked_from
16841,313943,forked_from
17717922,20201962,forked_from
28869010,32260612,forked_from
16916,14236246,forked_from
14434892,25731069,forked_from
16980,21329986,forked_from
17061,28451814,forked_from
3480250,28066513,forked_from
17126,4860950,forked_from
17153,17160,forked_from
17153,25306733,forked_from
17153,1458686,forked_from
9716512,17870022,forked_from
2996429,28066597,forked_from
10173983,19678041,forked_from
10173983,10295341,forked_from
10173983,10300536,forked_from
17318,37333079,forked_from
41436072,41716316,forked_from
17354,42655694,forked_from
11265873,41173970,forked_from
11265873,18183501,forked_from
11265873,17921518,forked_from
11265873,32643186,forked_from
11265873,29243356,forked_from
11265873,27737396,forked_from
11265873,27737423,forked_from
11265873,35643472,forked_from
13648909,31511229,forked_from
13648909,18285566,forked_from
28427801,28591147,forked_from
14812688,30164069,forked_from
14812688,20239981,forked_from
17736,11457912,forked_from
17736,1829744,forked_from
11416448,12076368,forked_from
17802,22057125,forked_from
22103935,41436571,forked_from
22103935,43494592,forked_from
23610821,28488736,forked_from
5260814,31448395,forked_from
17987,7808219,forked_from
12338850,21928890,forked_from
32261824,32302940,forked_from
30925837,32261850,forked_from
30925837,31013389,forked_from
9979642,30118810,forked_from
9979642,17541223,forked_from
9979642,32498635,forked_from
280438,17985632,forked_from
18405,3842631,forked_from
18475,12121499,forked_from
18475,1728832,forked_from
8779608,8931379,forked_from
4313916,35407937,forked_from
4313916,42819622,forked_from
6834265,9734983,forked_from
18559,841480,forked_from
33835142,34230986,forked_from
11770940,20727944,forked_from
11770940,16987307,forked_from
11770940,33005640,forked_from
9509304,17844396,forked_from
8366044,21514413,forked_from
1434458,22825141,forked_from
1434458,35673164,forked_from
1434458,10329140,forked_from
1434458,13742082,forked_from
2377951,29402605,forked_from
6834413,20666664,forked_from
18698,8049900,forked_from
13388045,21628766,forked_from
13388045,32702539,forked_from
12379665,24922401,forked_from
12379665,24484298,forked_from
12379665,22232475,forked_from
6310209,9222635,forked_from
18778,1810645,forked_from
16222944,37243235,forked_from
9718141,9761241,forked_from
8734889,8931786,forked_from
18896,4190686,forked_from
11168533,29379180,forked_from
11168533,15652696,forked_from
2378538,7014929,forked_from
28330860,28705965,forked_from
11816154,43535212,forked_from
18369467,40652662,forked_from
18369467,28809422,forked_from
19465,60059,forked_from
19524,27930209,forked_from
19524,2281944,forked_from
2378847,31479485,forked_from
30166152,30178694,forked_from
19596,466653,forked_from
19611,17854176,forked_from
12778676,20991152,forked_from
12883678,20991181,forked_from
544039,4291433,forked_from
19754,10524106,forked_from
31291,544142,forked_from
2903447,6400534,forked_from
19876,19967690,forked_from
18158544,40652200,forked_from
18158544,28809409,forked_from
12717991,43011516,forked_from
12717991,16616797,forked_from
44428,28331606,forked_from
21128,27283028,forked_from
21128,19617199,forked_from
13521354,27283058,forked_from
13521354,22234035,forked_from
9981560,28989153,forked_from
9981560,29292059,forked_from
23775197,27283094,forked_from
20138,19287813,forked_from
17198074,25972431,forked_from
14863568,19943122,forked_from
20235,3199585,forked_from
20235,7921446,forked_from
20235,25226361,forked_from
20235,10300516,forked_from
20235,33687538,forked_from
20235,28451745,forked_from
20235,6169608,forked_from
20235,19037623,forked_from
20235,14875180,forked_from
20235,19358152,forked_from
20235,22506838,forked_from
6835992,30197886,forked_from
6835992,25291750,forked_from
6835992,31409180,forked_from
13651832,37259169,forked_from
13651832,37261599,forked_from
13651832,13735453,forked_from
24924044,25017922,forked_from
10957348,19419092,forked_from
10957348,39174667,forked_from
42725266,42749956,forked_from
25972785,32498763,forked_from
3428470,13669190,forked_from
30465301,31215805,forked_from
63887,4477125,forked_from
63887,21687940,forked_from
24924401,37445623,forked_from
20783,8550098,forked_from
20802,10886734,forked_from
19751836,39080280,forked_from
20839,1535604,forked_from
11817348,24541906,forked_from
11817348,37193221,forked_from
1036396,23089549,forked_from
20944,7192068,forked_from
14847197,17060335,forked_from
3270883,7623172,forked_from
4588007,28070466,forked_from
40388,18109036,forked_from
4364767,27284105,forked_from
21151,83226,forked_from
2021071,2904744,forked_from
6453126,20730557,forked_from
113629,20206348,forked_from
113629,16108662,forked_from
113629,14815789,forked_from
113629,32183941,forked_from
5674659,8934222,forked_from
21356,3808202,forked_from
21409,19373195,forked_from
21416,1482443,forked_from
4158870,6312894,forked_from
4158870,9473319,forked_from
4158870,4540483,forked_from
4158870,7016623,forked_from
4158870,10949722,forked_from
4158870,6288546,forked_from
2609701,28595144,forked_from
21486,202977,forked_from
11176557,42488861,forked_from
22041645,22078964,forked_from
22041645,32649806,forked_from
21578,12535941,forked_from
17672771,22566043,forked_from
13360525,22041839,forked_from
21771,32028693,forked_from
21808,4159775,forked_from
21825,9862821,forked_from
25920822,25974086,forked_from
9861851,22041940,forked_from
21857,1453177,forked_from
10659174,31479168,forked_from
9641498,31479269,forked_from
9641498,10095803,forked_from
22025,9131762,forked_from
22032,14861933,forked_from
10273394,43013665,forked_from
22070,32287912,forked_from
21255738,22802602,forked_from
25450074,31531164,forked_from
284252,15556599,forked_from
284252,4347685,forked_from
22042237,24204295,forked_from
22144,1199123,forked_from
13129349,40194271,forked_from
6837918,44065755,forked_from
7624394,41796427,forked_from
20207320,35471487,forked_from
17447340,20207327,forked_from
50301,3692297,forked_from
50301,10422425,forked_from
21976231,34363154,forked_from
18110272,29324638,forked_from
22338,1466937,forked_from
3692383,7167787,forked_from
492285,7886711,forked_from
492285,9287362,forked_from
4752175,15751043,forked_from
12343173,39917429,forked_from
12343173,28449573,forked_from
19121327,31479747,forked_from
22513,7008589,forked_from
11825713,19421200,forked_from
11825713,22367971,forked_from
11825713,42836237,forked_from
11825713,21145810,forked_from
9954147,25974805,forked_from
22551,27395426,forked_from
22556,12750961,forked_from
22603,610558,forked_from
22603,7290324,forked_from
19096933,39082121,forked_from
19096933,19292535,forked_from
