nodeA,nodeB,Type
867,win,containPlat
867,Mac,containPlat
867,Windows,containPlat
867,Window,containPlat
867,CE,containPlat
867,OS X,containPlat
20185978,Android,containPlat
20185978,win,containPlat
20185978,android,containPlat
897,mac,containPlat
897,win,containPlat
900,GNU,containPlat
900,win,containPlat
7603082,CE,containPlat
7603082,win,containPlat
11535246,Android,containPlat
11535246,CE,containPlat
11535246,android,containPlat
11797396,iOS,containPlat
11797396,win,containPlat
916,win,containPlat
10748827,Linux,containPlat
10748827,linux,containPlat
10748827,mac,containPlat
10748827,win,containPlat
10748827,OS X,containPlat
10748827,CE,containPlat
924,mac,containPlat
924,Mac,containPlat
924,win,containPlat
931,CE,containPlat
9700261,CE,containPlat
934,CE,containPlat
934,win,containPlat
937,CE,containPlat
937,win,containPlat
940,win,containPlat
13370285,Android,containPlat
13370285,CE,containPlat
13370285,iOS,containPlat
13370285,android,containPlat
1835949,iOS,containPlat
42730412,iOS,containPlat
42730412,macOS,containPlat
42730412,mac,containPlat
42730412,win,containPlat
42730412,CE,containPlat
42730412,OS X,containPlat
12846006,CE,containPlat
12846006,win,containPlat
12846012,GNU,containPlat
18351040,Android,containPlat
977,CE,containPlat
982,win,containPlat
982,Linux,containPlat
982,mac,containPlat
982,OSX,containPlat
6816730,iOS,containPlat
6816730,Android,containPlat
6816730,Win,containPlat
6816730,Windows 8,containPlat
6816730,win,containPlat
6816730,Windows,containPlat
6816730,Window,containPlat
6816730,android,containPlat
6816730,CE,containPlat
13632479,Android,containPlat
13632479,android,containPlat
13370355,Android,containPlat
13370355,iOS,containPlat
13370355,win,containPlat
13370355,ios,containPlat
16253942,CE,containPlat
5768192,CE,containPlat
5768192,ios,containPlat
3146758,android,containPlat
30409737,Linux,containPlat
30409737,macOS,containPlat
30409737,mac,containPlat
30409737,Win,containPlat
30409737,win,containPlat
30409737,Mac,containPlat
30409737,Windows,containPlat
30409737,Window,containPlat
30409737,OS X,containPlat
1036,Linux,containPlat
1036,Mac OS X,containPlat
1036,windows,containPlat
1036,Win,containPlat
1036,win,containPlat
1036,Mac,containPlat
1036,Windows,containPlat
1036,Window,containPlat
1036,CE,containPlat
1036,Mac OS,containPlat
1036,OS X,containPlat
1038,Win,containPlat
1038,CE,containPlat
1038,win,containPlat
1041,win,containPlat
7603220,android,containPlat
8913939,CE,containPlat
19137566,Android,containPlat
1055,win,containPlat
1060,Android,containPlat
1060,win,containPlat
17302563,Android,containPlat
17302563,iOS,containPlat
17302563,ios,containPlat
17302563,android,containPlat
1070,CE,containPlat
1070,win,containPlat
263216,Android,containPlat
263216,Win,containPlat
263216,win,containPlat
263216,Window,containPlat
10486835,iOS,containPlat
10486835,win,containPlat
30409782,Android,containPlat
30409782,GNU,containPlat
31196214,win,containPlat
31196214,Android,containPlat
31196214,mac,containPlat
31196214,CE,containPlat
1081,win,containPlat
1097,android,containPlat
10749020,win,containPlat
263264,CE,containPlat
1129,Linux,containPlat
1129,Mac OS X,containPlat
1129,windows,containPlat
1129,Unix,containPlat
1129,win,containPlat
1129,Win,containPlat
1129,Mac,containPlat
1129,Windows,containPlat
1129,Window,containPlat
1129,OS X,containPlat
1129,Mac OS,containPlat
10224742,ios,containPlat
10224742,linux,containPlat
10224742,Android,containPlat
10224742,mac,containPlat
10224742,win,containPlat
10224742,android,containPlat
10224742,CE,containPlat
1836147,Debian,containPlat
