NodeA,id,Type
3312036,1273,mention
1477810,1273,mention
13542810,1273,mention
5156821,1273,mention
25082871,1273,mention
21676699,1273,mention
25347055,1273,mention
17226521,1273,mention
6479669,1273,mention
33480947,1273,mention
33480947,1273,mention
33480947,1273,mention
4645406,1273,mention
9102117,1273,mention
976029,1273,mention
976029,1273,mention
451909,1273,mention
4910448,1273,mention
4910448,1273,mention
29291120,1273,mention
13041777,1273,mention
13041777,1273,mention
7537358,1273,mention
13043027,1273,mention
13043027,1273,mention
212207,1273,mention
212207,1273,mention
20136965,1273,mention
21187110,1273,mention
21187110,1273,mention
11498547,1273,mention
229082,1273,mention
15959532,1273,mention
9670407,1273,mention
4432126,1273,mention
4432126,1273,mention
4432126,1273,mention
19643606,1273,mention
14400903,1273,mention
770902,1273,mention
14668508,1273,mention
14668508,1273,mention
2085996,1273,mention
3141868,1273,mention
3928906,1273,mention
9699568,2703101,mention
26476784,25001595,mention
14942469,12669269,mention
29884685,13403042,mention
25166305,13403042,mention
25166305,13403042,mention
2621942,13403042,mention
42730412,13403042,mention
42730412,13403042,mention
33031307,13403042,mention
1273,13403042,mention
1273,13403042,mention
31458821,13403042,mention
31458821,13403042,mention
7079461,13403042,mention
28313232,13403042,mention
11011866,13403042,mention
17827620,13403042,mention
17827620,13403042,mention
13633412,13403042,mention
2344,13403042,mention
11798904,13403042,mention
32509097,13403042,mention
3149024,13403042,mention
3411173,13403042,mention
3411173,13403042,mention
19664146,13403042,mention
19664146,13403042,mention
7867812,13403042,mention
40898107,13403042,mention
10490118,13403042,mention
10490118,13403042,mention
27005599,13403042,mention
9179854,13403042,mention
9179854,13403042,mention
19928375,13403042,mention
19928375,13403042,mention
5667,13403042,mention
5667,13403042,mention
5667,13403042,mention
5667,13403042,mention
5667,13403042,mention
5693,13403042,mention
21501837,13403042,mention
6180,13403042,mention
6180,13403042,mention
6180,13403042,mention
21502043,13403042,mention
13375978,13403042,mention
268846,13403042,mention
40901181,13403042,mention
40901181,13403042,mention
531033,13403042,mention
32512877,13403042,mention
2366329,13403042,mention
11803727,13403042,mention
25697765,13403042,mention
8109,13403042,mention
